GenBank Accessions,Genome Name,Total_length,Classification,Broader_Classifications,Clade,CAZyme_freq,Trait,YAS,Trait_Freq,log_Trait_Freq
AORL00000000,Sphingomonas sp. PR090111-T3T-6A,3910956,Animal,Animal,12_clade,42,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
AORY00000000,Sphingomonas sp. Mn802worker,3184625,Animal,Animal,4_clade,23,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
AORY00000000,Sphingomonas sp. Mn802worker,3184625,Animal,Animal,4_clade,23,Prokaryotic Defense System,Stress (S),30,3.401197382
AORY00000000,Sphingomonas sp. Mn802worker,3184625,Animal,Animal,4_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
AQUJ00000000,Sphingomonas melonis C3,3929644,Soil,Environment,2_clade,23,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
AQUJ00000000,Sphingomonas melonis C3,3929644,Soil,Environment,2_clade,23,Prokaryotic Defense System,Stress (S),38,3.63758616
AQUJ00000000,Sphingomonas melonis C3,3929644,Soil,Environment,2_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
AQZT00000000,Sphingomonas melonis DAPP-PG 224,4096005,Soil,Environment,2_clade,25,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
AQZT00000000,Sphingomonas melonis DAPP-PG 224,4096005,Soil,Environment,2_clade,25,Prokaryotic Defense System,Stress (S),32,3.465735903
AQZT00000000,Sphingomonas melonis DAPP-PG 224,4096005,Soil,Environment,2_clade,25,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
ASTM00000000,Sphingomonas sp. YL-JM2C,5916233,Wastewater,Industrial,12_clade,39,Chaperones and Folding Catalysts,Stress (S),35,3.555348061
ASTM00000000,Sphingomonas sp. YL-JM2C,5916233,Wastewater,Industrial,12_clade,39,Prokaryotic Defense System,Stress (S),36,3.583518938
ASTM00000000,Sphingomonas sp. YL-JM2C,5916233,Wastewater,Industrial,12_clade,39,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
ATTG00000000,Sphingomonas melonis FR1,4047966,Soil,Environment,2_clade,24,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
ATTG00000000,Sphingomonas melonis FR1,4047966,Soil,Environment,2_clade,24,Prokaryotic Defense System,Stress (S),38,3.63758616
ATTG00000000,Sphingomonas melonis FR1,4047966,Soil,Environment,2_clade,24,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
ATTI00000000,Sphingomonas phyllosphaerae 5.2,3920967,Soil,Environment,4_clade,26,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
ATTI00000000,Sphingomonas phyllosphaerae 5.2,3920967,Soil,Environment,4_clade,26,Prokaryotic Defense System,Stress (S),18,2.890371758
ATTI00000000,Sphingomonas phyllosphaerae 5.2,3920967,Soil,Environment,4_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
ATYK00000000,Sphingomonas phyllosphaerae FA2,3920099,Soil,Environment,4_clade,31,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
ATYK00000000,Sphingomonas phyllosphaerae FA2,3920099,Soil,Environment,4_clade,31,Prokaryotic Defense System,Stress (S),23,3.135494216
ATYK00000000,Sphingomonas phyllosphaerae FA2,3920099,Soil,Environment,4_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
BBJS00000000,Sphingomonas paucimobilis NBRC 13935,4327402,Clinical,Clinical,3_clade,38,Chaperones and Folding Catalysts,Stress (S),42,3.737669618
BBJS00000000,Sphingomonas paucimobilis NBRC 13935,4327402,Clinical,Clinical,3_clade,38,Prokaryotic Defense System,Stress (S),23,3.135494216
BBJS00000000,Sphingomonas paucimobilis NBRC 13935,4327402,Clinical,Clinical,3_clade,38,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
BBPI00000000,Sphingomonas parapaucimobilis NBRC 15100,3993628,Clinical,Clinical,3_clade,26,Chaperones and Folding Catalysts,Stress (S),33,3.496507561
BBPI00000000,Sphingomonas parapaucimobilis NBRC 15100,3993628,Clinical,Clinical,3_clade,26,Prokaryotic Defense System,Stress (S),35,3.555348061
BBPI00000000,Sphingomonas parapaucimobilis NBRC 15100,3993628,Clinical,Clinical,3_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
BBWU01000000,Sphingomonas changbaiensis NBRC 104936,3217375,Environment,Environment,11_clade,16,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
BBWU01000000,Sphingomonas changbaiensis NBRC 104936,3217375,Environment,Environment,11_clade,16,Prokaryotic Defense System,Stress (S),33,3.496507561
BBWU01000000,Sphingomonas changbaiensis NBRC 104936,3217375,Environment,Environment,11_clade,16,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
BCTR00000000,Sphingomonas azotifigens NBRC 15497 strain NBRC 15497,5145744,Root,Plant,6_clade,35,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
BCTR00000000,Sphingomonas azotifigens NBRC 15497 strain NBRC 15497,5145744,Root,Plant,6_clade,35,Prokaryotic Defense System,Stress (S),27,3.295836866
BCTR00000000,Sphingomonas azotifigens NBRC 15497 strain NBRC 15497,5145744,Root,Plant,6_clade,35,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
BCTY00000000,Sphingomonas sanguinis NBRC 13937,4053092,Clinical,Clinical,3_clade,24,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
BCTY00000000,Sphingomonas sanguinis NBRC 13937,4053092,Clinical,Clinical,3_clade,24,Prokaryotic Defense System,Stress (S),22,3.091042453
BCTY00000000,Sphingomonas sanguinis NBRC 13937,4053092,Clinical,Clinical,3_clade,24,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
BCTZ00000000,Sphingomonas soli NBRC 100801,3514102,Environment,Environment,6_clade,21,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
BCTZ00000000,Sphingomonas soli NBRC 100801,3514102,Environment,Environment,6_clade,21,Prokaryotic Defense System,Stress (S),22,3.091042453
BCTZ00000000,Sphingomonas soli NBRC 100801,3514102,Environment,Environment,6_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
BCYU00000000,Sphingomonas asaccharolytica NBRC 15499,4608803,Root,Plant,5_clade,31,Chaperones and Folding Catalysts,Stress (S),37,3.610917913
BCYU00000000,Sphingomonas asaccharolytica NBRC 15499,4608803,Root,Plant,5_clade,31,Prokaryotic Defense System,Stress (S),20,2.995732274
BCYU00000000,Sphingomonas asaccharolytica NBRC 15499,4608803,Root,Plant,5_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
BCYW00000000,Sphingomonas koreensis NBRC 16723,4331861,Water,Water,7_clade,31,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
BCYW00000000,Sphingomonas koreensis NBRC 16723,4331861,Water,Water,7_clade,31,Prokaryotic Defense System,Stress (S),18,2.890371758
BCYW00000000,Sphingomonas koreensis NBRC 16723,4331861,Water,Water,7_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
BCYX00000000,Sphingomonas mali NBRC 15500,5228377,Root,Plant,5_clade,43,Chaperones and Folding Catalysts,Stress (S),43,3.761200116
BCYX00000000,Sphingomonas mali NBRC 15500,5228377,Root,Plant,5_clade,43,Prokaryotic Defense System,Stress (S),25,3.218875825
BCYX00000000,Sphingomonas mali NBRC 15500,5228377,Root,Plant,5_clade,43,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
BCYY00000000,Sphingomonas pituitosa NBRC 102491,4743156,Water,Water,6_clade,37,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
BCYY00000000,Sphingomonas pituitosa NBRC 102491,4743156,Water,Water,6_clade,37,Prokaryotic Defense System,Stress (S),51,3.931825633
BCYY00000000,Sphingomonas pituitosa NBRC 102491,4743156,Water,Water,6_clade,37,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
BCYZ00000000,Sphingomonas pruni NBRC 15498,4482342,Root,Plant,5_clade,29,Chaperones and Folding Catalysts,Stress (S),38,3.63758616
BCYZ00000000,Sphingomonas pruni NBRC 15498,4482342,Root,Plant,5_clade,29,Prokaryotic Defense System,Stress (S),18,2.890371758
BCYZ00000000,Sphingomonas pruni NBRC 15498,4482342,Root,Plant,5_clade,29,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
BDJB00000000,Sphingomonas sp. TZW2008 strain TZW2008,3502668,Protist,Other,4_clade,28,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
BDJB00000000,Sphingomonas sp. TZW2008 strain TZW2008,3502668,Protist,Other,4_clade,28,Prokaryotic Defense System,Stress (S),16,2.772588722
BDJB00000000,Sphingomonas sp. TZW2008 strain TZW2008,3502668,Protist,Other,4_clade,28,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
BJXI01000000,Sphingomonas aquatilis NBRC 16722,3932334,Water,Water,2_clade,23,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
BJXI01000000,Sphingomonas aquatilis NBRC 16722,3932334,Water,Water,2_clade,23,Prokaryotic Defense System,Stress (S),25,3.218875825
BJXI01000000,Sphingomonas aquatilis NBRC 16722,3932334,Water,Water,2_clade,23,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
CABKLS010000001,uncultured Sphingomonas sp. strain MGYG-HGUT-01262,3667136,Clinical,Clinical,4_clade,22,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CABKLS010000001,uncultured Sphingomonas sp. strain MGYG-HGUT-01262,3667136,Clinical,Clinical,4_clade,22,Prokaryotic Defense System,Stress (S),23,3.135494216
CABKLS010000001,uncultured Sphingomonas sp. strain MGYG-HGUT-01262,3667136,Clinical,Clinical,4_clade,22,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
CP000699,Sphingomonas wittichii RW1,5915246,Water,Water,12_clade,36,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
CP000699,Sphingomonas wittichii RW1,5915246,Water,Water,12_clade,36,Proteasome,Stress (S),1,0
CP000699,Sphingomonas wittichii RW1,5915246,Water,Water,12_clade,36,Prokaryotic Defense System,Stress (S),38,3.63758616
CP000699,Sphingomonas wittichii RW1,5915246,Water,Water,12_clade,36,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
CP004036,Sphingomonas sp. MM-1,4633613,Contaminated site,Contaminated site,12_clade,13,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
CP004036,Sphingomonas sp. MM-1,4633613,Contaminated site,Contaminated site,12_clade,13,Prokaryotic Defense System,Stress (S),32,3.465735903
CP004036,Sphingomonas sp. MM-1,4633613,Contaminated site,Contaminated site,12_clade,13,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),27,3.295836866
CP006644.1,Sphingomonas sanxanigenens DSM 19645 = NX02,6205897,Soil,Environment,11_clade,35,Chaperones and Folding Catalysts,Stress (S),35,3.555348061
CP006644.1,Sphingomonas sanxanigenens DSM 19645 = NX02,6205897,Soil,Environment,11_clade,35,Proteasome,Stress (S),1,0
CP006644.1,Sphingomonas sanxanigenens DSM 19645 = NX02,6205897,Soil,Environment,11_clade,35,Prokaryotic Defense System,Stress (S),48,3.871201011
CP006644.1,Sphingomonas sanxanigenens DSM 19645 = NX02,6205897,Soil,Environment,11_clade,35,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
CP009571.1,Sphingomonas taxi ATCC 55669,4061902,Plant,Plant,2_clade,31,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP009571.1,Sphingomonas taxi ATCC 55669,4061902,Plant,Plant,2_clade,31,Prokaryotic Defense System,Stress (S),34,3.526360525
CP009571.1,Sphingomonas taxi ATCC 55669,4061902,Plant,Plant,2_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
CP010836,Sphingomonas sp. WHSC-8,5228389,Soil,Environment,6_clade,40,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
CP010836,Sphingomonas sp. WHSC-8,5228389,Soil,Environment,6_clade,40,Prokaryotic Defense System,Stress (S),36,3.583518938
CP010836,Sphingomonas sp. WHSC-8,5228389,Soil,Environment,6_clade,40,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
CP013916,Sphingomonas sp. LK11 strain LK11,3938206,Leaf,Plant,3_clade,31,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP013916,Sphingomonas sp. LK11 strain LK11,3938206,Leaf,Plant,3_clade,31,Prokaryotic Defense System,Stress (S),19,2.944438979
CP013916,Sphingomonas sp. LK11 strain LK11,3938206,Leaf,Plant,3_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
CP014168,Sphingomonas panacis strain DCY99,5322941,Root,Plant,5_clade,47,Chaperones and Folding Catalysts,Stress (S),36,3.583518938
CP014168,Sphingomonas panacis strain DCY99,5322941,Root,Plant,5_clade,47,Proteasome,Stress (S),1,0
CP014168,Sphingomonas panacis strain DCY99,5322941,Root,Plant,5_clade,47,Prokaryotic Defense System,Stress (S),41,3.713572067
CP014168,Sphingomonas panacis strain DCY99,5322941,Root,Plant,5_clade,47,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
CP016306,Sphingomonas sp. KC8 strain KC8,4123013,Wastewater,Industrial,12_clade,21,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
CP016306,Sphingomonas sp. KC8 strain KC8,4123013,Wastewater,Industrial,12_clade,21,Prokaryotic Defense System,Stress (S),23,3.135494216
CP016306,Sphingomonas sp. KC8 strain KC8,4123013,Wastewater,Industrial,12_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
CP017578,Sphingomonas melonis TY,4196755,Other,Other,2_clade,26,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
CP017578,Sphingomonas melonis TY,4196755,Other,Other,2_clade,26,Prokaryotic Defense System,Stress (S),33,3.496507561
CP017578,Sphingomonas melonis TY,4196755,Other,Other,2_clade,26,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
CP018820,Sphingomonas sp. ABOJV,4819238,Environment,Environment,7_clade,32,Chaperones and Folding Catalysts,Stress (S),49,3.891820298
CP018820,Sphingomonas sp. ABOJV,4819238,Environment,Environment,7_clade,32,Prokaryotic Defense System,Stress (S),21,3.044522438
CP018820,Sphingomonas sp. ABOJV,4819238,Environment,Environment,7_clade,32,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
CP019511,Sphingomonas sp. LM7 strain LM7,4155514,Water,Water,6_clade,31,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
CP019511,Sphingomonas sp. LM7 strain LM7,4155514,Water,Water,6_clade,31,Prokaryotic Defense System,Stress (S),20,2.995732274
CP019511,Sphingomonas sp. LM7 strain LM7,4155514,Water,Water,6_clade,31,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
CP023705,Sphingomonas melonis strain ZJ26,3653375,Seed,Plant,2_clade,25,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
CP023705,Sphingomonas melonis strain ZJ26,3653375,Seed,Plant,2_clade,25,Prokaryotic Defense System,Stress (S),28,3.33220451
CP023705,Sphingomonas melonis strain ZJ26,3653375,Seed,Plant,2_clade,25,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
CP029761,Sphingomonas sp. IC081,5524971,Wastewater,Industrial,10_clade,32,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
CP029761,Sphingomonas sp. IC081,5524971,Wastewater,Industrial,10_clade,32,Prokaryotic Defense System,Stress (S),22,3.091042453
CP029761,Sphingomonas sp. IC081,5524971,Wastewater,Industrial,10_clade,32,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
CP029985,Sphingomonas sp. FARSPH,3761538,Other,Other,2_clade,30,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
CP029985,Sphingomonas sp. FARSPH,3761538,Other,Other,2_clade,30,Prokaryotic Defense System,Stress (S),32,3.465735903
CP029985,Sphingomonas sp. FARSPH,3761538,Other,Other,2_clade,30,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
CP034357,Sphingomonas sp. C8-2,5758785,Soil,Environment,12_clade,39,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP034357,Sphingomonas sp. C8-2,5758785,Soil,Environment,12_clade,39,Prokaryotic Defense System,Stress (S),30,3.401197382
CP034357,Sphingomonas sp. C8-2,5758785,Soil,Environment,12_clade,39,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
CP037913,Sphingomonas sp. AAP5,4382271,Water,Water,5_clade,29,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP037913,Sphingomonas sp. AAP5,4382271,Water,Water,5_clade,29,Proteasome,Stress (S),1,0
CP037913,Sphingomonas sp. AAP5,4382271,Water,Water,5_clade,29,Prokaryotic Defense System,Stress (S),34,3.526360525
CP037913,Sphingomonas sp. AAP5,4382271,Water,Water,5_clade,29,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
CP039249,Sphingomonas sp. PAMC26645,4283956,Environment,Environment,1_clade,39,Chaperones and Folding Catalysts,Stress (S),29,3.36729583
CP039249,Sphingomonas sp. PAMC26645,4283956,Environment,Environment,1_clade,39,Proteasome,Stress (S),1,0
CP039249,Sphingomonas sp. PAMC26645,4283956,Environment,Environment,1_clade,39,Prokaryotic Defense System,Stress (S),24,3.17805383
CP039249,Sphingomonas sp. PAMC26645,4283956,Environment,Environment,1_clade,39,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),34,3.526360525
CP042239,Sphingomonas sp. XS-10,4154291,Soil,Environment,7_clade,25,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
CP042239,Sphingomonas sp. XS-10,4154291,Soil,Environment,7_clade,25,Prokaryotic Defense System,Stress (S),34,3.526360525
CP042239,Sphingomonas sp. XS-10,4154291,Soil,Environment,7_clade,25,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
CP042306,Sphingomonas sp. HKS19,3403025,Soil,Environment,5_clade,22,Chaperones and Folding Catalysts,Stress (S),34,3.526360525
CP042306,Sphingomonas sp. HKS19,3403025,Soil,Environment,5_clade,22,Prokaryotic Defense System,Stress (S),19,2.944438979
CP042306,Sphingomonas sp. HKS19,3403025,Soil,Environment,5_clade,22,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
CP046535,Sphingomonas sp. LMO-1,4538634,Sediment,Water,12_clade,34,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP046535,Sphingomonas sp. LMO-1,4538634,Sediment,Water,12_clade,34,Prokaryotic Defense System,Stress (S),32,3.465735903
CP046535,Sphingomonas sp. LMO-1,4538634,Sediment,Water,12_clade,34,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),30,3.401197382
CP048422,Sphingomonas insulae strain KCTC 12872,3742477,Soil,Environment,2_clade,33,Chaperones and Folding Catalysts,Stress (S),32,3.465735903
CP048422,Sphingomonas insulae strain KCTC 12872,3742477,Soil,Environment,2_clade,33,Prokaryotic Defense System,Stress (S),25,3.218875825
CP048422,Sphingomonas insulae strain KCTC 12872,3742477,Soil,Environment,2_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),33,3.496507561
CP053015,Sphingomonas sp. CSW-10,2977834,Water,Water,10_clade,11,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
CP053015,Sphingomonas sp. CSW-10,2977834,Water,Water,10_clade,11,Prokaryotic Defense System,Stress (S),21,3.044522438
CP053015,Sphingomonas sp. CSW-10,2977834,Water,Water,10_clade,11,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),29,3.36729583
DBBS00000000,Sphingomonas sp. UBA978,3618807,Water,Water,2_clade,33,Chaperones and Folding Catalysts,Stress (S),28,3.33220451
DBBS00000000,Sphingomonas sp. UBA978,3618807,Water,Water,2_clade,33,Prokaryotic Defense System,Stress (S),24,3.17805383
DBBS00000000,Sphingomonas sp. UBA978,3618807,Water,Water,2_clade,33,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
FMWX01000000,Sphingomonas sp. NFR15,4398675,Root,Plant,5_clade,38,Chaperones and Folding Catalysts,Stress (S),33,3.496507561
FMWX01000000,Sphingomonas sp. NFR15,4398675,Root,Plant,5_clade,38,Proteasome,Stress (S),1,0
FMWX01000000,Sphingomonas sp. NFR15,4398675,Root,Plant,5_clade,38,Prokaryotic Defense System,Stress (S),35,3.555348061
FMWX01000000,Sphingomonas sp. NFR15,4398675,Root,Plant,5_clade,38,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
FMZJ00000000,Sphingomonas sp. YR710,4361255,Root,Plant,12_clade,21,Chaperones and Folding Catalysts,Stress (S),39,3.663561646
FMZJ00000000,Sphingomonas sp. YR710,4361255,Root,Plant,12_clade,21,Proteasome,Stress (S),1,0
FMZJ00000000,Sphingomonas sp. YR710,4361255,Root,Plant,12_clade,21,Prokaryotic Defense System,Stress (S),37,3.610917913
FMZJ00000000,Sphingomonas sp. YR710,4361255,Root,Plant,12_clade,21,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),28,3.33220451
FNBI01000000,Sphingomonas sp. S7-754,4044312,Plant,Plant,3_clade,38,Chaperones and Folding Catalysts,Stress (S),31,3.433987204
FNBI01000000,Sphingomonas sp. S7-754,4044312,Plant,Plant,3_clade,38,Prokaryotic Defense System,Stress (S),24,3.17805383
FNBI01000000,Sphingomonas sp. S7-754,4044312,Plant,Plant,3_clade,38,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),31,3.433987204
FNZB00000000,Sphingomonas sp. OV641,4440765,Root,Plant,4_clade,30,Chaperones and Folding Catalysts,Stress (S),33,3.496507561
FNZB00000000,Sphingomonas sp. OV641,4440765,Root,Plant,4_clade,30,Prokaryotic Defense System,Stress (S),30,3.401197382
FNZB00000000,Sphingomonas sp. OV641,4440765,Root,Plant,4_clade,30,Peptidoglycan Biosynthesis and Degredation Proteins,Stress (S),32,3.465735903
FNZZ00000000,Sphingomonas sp. JS21-1,3272897,Leaf,Plant,4_clade,23,Chaperones and Folding Catalysts,Stress (S),30,3.401197382
